Date;Open;High;Low;Close;Volume;market_cap;total_volume;Value - Hrate;Value - Uadresses;google_trends
03/03/2016;421.7100;431.1110;417.0000;419.6210;3659.1702;1451598.5484000002;180593.00000000003;1275972.63689;483756;3
04/03/2016;421.3300;424.4900;404.8700;406.6700;3020.2604;1451599.9999999998;132882.0;1080919.49495;410737;3
05/03/2016;406.6700;407.7700;388.4010;393.1610;4395.3263;1451600.0;353656.0;1235336.56565;419365;3
06/03/2016;393.1800;410.0570;387.2700;400.6490;1730.3653;1451597.0968000002;290334.0;1292227.06539;422768;3
07/03/2016;400.6490;414.1200;397.3950;410.0100;1289.6789;1451597.0968000002;140199.0;1094688.80322;312335;3
08/03/2016;410.4530;414.3570;407.5000;412.0400;1315.0599;1451598.5484;148223.0;1220696.14747;372418;3
09/03/2016;411.9200;414.7350;406.4500;411.9300;1564.1853;1451447.582;146573.0;1055311.50814;363851;3
10/03/2016;410.5200;429.7020;409.4200;415.8300;2772.2031;1451591.2903999998;133855.0;1299450.73763;330958;3
11/03/2016;416.5000;423.6500;415.0000;420.3490;1521.5114;1451592.742;91345.0;1267948.90157;374551;3
12/03/2016;419.1900;420.5890;406.1500;406.6550;4301.4410;1451435.9692;253494.0;1283699.8196;352895;3
13/03/2016;408.6810;413.6150;406.6600;408.3200;2155.3791;1451488.2268000003;195096.00000000003;1031685.13109;310285;3
14/03/2016;410.3310;416.9660;407.7400;414.4310;3341.5744;1451591.2904000005;367988.0;1189194.31141;393384;3
15/03/2016;414.5000;417.0890;412.1730;415.1400;1782.3582;1451600.0;109338.0;1197069.77042;367761;3
16/03/2016;415.2900;419.0400;412.8710;418.1660;1605.6410;1451600.0;72590.00000000001;1197069.77042;367761;3
17/03/2016;418.1660;422.6900;416.8300;419.8120;1841.7496;1451573.8712;220365.00000000003;1338828.03271;369886;3
18/03/2016;420.9950;420.9960;405.0310;407.9010;3224.5335;1451593.0968080005;327413.00000000006;1063186.96715;394142;3
19/03/2016;407.9020;411.4430;405.5270;409.5300;1850.6202;1451593.0968080002;119627.00000000003;1135311.13693;364177;3
20/03/2016;409.9200;414.8180;409.9200;413.6390;805.3789;1451588.0968180003;82078.99999999999;1110630.46004;350288;2
21/03/2016;413.1890;414.3590;407.6760;412.3180;1344.2642;1451588.096818;154662.0;1242260.73678;352210;2
22/03/2016;412.2500;417.9000;411.1690;417.1600;1649.5955;1451589.5484090005;104043.0;1036588.42937;375082;2
23/03/2016;417.8900;417.9800;411.8900;416.0000;1274.3179;1451589.5484089996;85451.99999999999;1225806.95219;399764;2
24/03/2016;415.5660;417.7800;413.1200;415.0400;1187.8507;1451550.3554520002;108347.0;1242260.73678;322191;2
25/03/2016;415.0300;419.7590;413.6100;415.3410;943.3945;1451591.0;32146.0;1242260.73678;381250;2
26/03/2016;415.8510;418.4000;415.2800;417.5730;978.5468;1451590.9999999998;43412.00000000001;1192899.383;326933;2
27/03/2016;417.5730;429.9990;415.9000;425.0070;1292.9725;1451591.0;111749.0;1209353.1676;323407;2
28/03/2016;425.0120;426.3900;421.1340;423.0000;1137.4673;1451591.0;110967.00000000003;1258714.52138;310868;2
29/03/2016;422.5100;428.1090;405.0000;416.7000;1234.4149;1451590.9999999998;1043750.0;1168218.70611;349278;2
30/03/2016;414.8800;416.0100;409.1230;412.4320;1042.9326;1451591.0;204435.00000000003;1398571.69042;341678;2
31/03/2016;412.4320;419.9880;412.4220;416.1000;2093.3866;1451591.0;147568.0;1308075.87516;402557;2
01/04/2016;416.1000;419.0390;415.5000;417.9000;648.0454;1451591.0;49964.99999999999;1028361.53707;337655;2
02/04/2016;417.9000;423.1700;417.9000;421.0000;524.0218;1451590.9999999998;103217.99999999999;1136310.01874;332670;2
03/04/2016;420.6310;421.6600;417.9590;421.4970;495.9346;1451590.9999999998;85039.00000000001;1244135.05701;394636;2
04/04/2016;421.4800;421.6000;417.5420;420.9900;582.4970;1451590.9999999998;488661.9999999999;1219252.35587;334761;2
05/04/2016;419.5100;424.9700;419.5000;422.7600;985.0175;1451591.0;105465.00000000001;1360254.329;404374;2
06/04/2016;423.0000;424.6110;421.5600;423.5500;891.8825;1451590.9999999998;82070.99999999997;1235840.8233;395942;2
