;SVC signal;return;;return of buy only (SVC);return of buy and hold;;return of buy/sell;;;;AdaBoost signal;;return of buy only (adaboost);;return of buy/sell;;;%;
27/11/2019;1;0,050868521;0,050868521;0,890441308;0,909191699;0,050868521;0,871483555;;;;1;0,050868521;0,9645434;0,050868521;1,017185699;;20191218;0,007;0,00007
28/11/2019;1;-0,012746219;-0,012746219;0,879091548;0,897602943;-0,012746219;0,860375435;;;;1;-0,012746219;0,952249119;-0,012746219;1,004220427;;20191219;0,007;0,00007
29/11/2019;1;0,044279002;0,044279002;0,918016844;0,937347906;0,044279002;0,898472;;;;1;0,044279002;0,99441376;0,044279002;1,048686306;;20191220;0,007;0,00007
30/11/2019;1;-0,025487972;-0,025487972;0,894618457;0,913456809;-0,025487972;0,875571772;;;;1;-0,025487972;0,96906817;-0,025487972;1,021957419;;20191223;0,007;0,00007
01/12/2019;1;-0,021233248;-0,021233248;0,875622801;0,894061154;-0,021233248;0,856980539;;;;1;-0,021233248;0,948491705;-0,021233248;1,000257944;;20191224;0,007;0,00007
02/12/2019;1;-0,012502872;-0,012502872;0,864675001;0,882882821;-0,012502872;0,846265821;;;;1;-0,012502872;0,936632835;-0,012502872;0,987751846;;20191226;0,007;0,00007
03/12/2019;1;-0,001355422;-0,001355422;0,863503002;0,881686143;-0,001355422;0,845118774;;;;1;-0,001355422;0,935363302;-0,001355422;0,986413026;;20191227;0,007;0,00007
04/12/2019;1;-0,01493253;-0,01493253;0,850608718;0,868520338;-0,01493253;0,832499013;;;;1;-0,01493253;0,921395962;-0,01493253;0,971683384;;20191230;0,007;0,00007
05/12/2019;1;0,027486729;0,027486729;0,873989169;0,892393122;0,027486729;0,855381687;;;;1;0,027486729;0,946722123;0,027486729;0,998391782;;20191231;0,007;0,00007
06/12/2019;0;0,020378634;0;0,873989169;0,910578875;-0,020378634;0,837950177;;;;1;0,020378634;0,966015027;0,020378634;1,018737643;;20200102;0,006;0,00006
07/12/2019;0;-0,004916317;0;0,873989169;0,906102181;0,004916317;0,842069805;;;;1;-0,004916317;0,961265791;-0,004916317;1,013729206;;20200103;0,006;0,00006
08/12/2019;0;0,001838235;0;0,873989169;0,90776781;-0,001838235;0,840521883;;;;0;0;0,961265791;-0,001838235;1,011865733;;20200106;0,006;0,00006
09/12/2019;1;-0,024498916;-0,024498916;0,852577382;0,885528482;-0,024498916;0,819930008;;;;0;0;0,961265791;0,024498916;1,036655347;;20200107;0,006;0,00006
10/12/2019;1;-0,015706592;-0,015706592;0,839186297;0,871619848;-0,015706592;0,807051702;;;;1;-0,015706592;0,946167581;-0,015706592;1,020373024;;20200108;0,006;0,00006
11/12/2019;1;-0,002313436;-0,002313436;0,837244893;0,869603411;-0,002313436;0,805184639;;;;1;-0,002313436;0,943978683;-0,002313436;1,018012457;;20200109;0,006;0,00006
12/12/2019;1;-0,001638457;-0,001638457;0,835873104;0,868178603;-0,001638457;0,803865379;;;;1;-0,001638457;0,942432015;-0,001638457;1,016344488;;20200110;0,006;0,00006
13/12/2019;1;0,008581124;0,008581124;0,843045835;0,875628552;0,008581124;0,810763448;;;;1;0,008581124;0,950519142;0,008581124;1,025065866;;20200113;0,006;0,00006
14/12/2019;1;-0,025427819;-0,025427819;0,821609018;0,853363228;-0,025427819;0,790147502;;;;1;-0,025427819;0,926349513;-0,025427819;0,999000677;;20200114;0,006;0,00006
15/12/2019;1;0,006536965;0,006536965;0,826979847;0,858941633;0,006536965;0,795312668;;;;1;0,006536965;0,932405027;0,006536965;1,005531109;;20200115;0,006;0,00006
16/12/2019;1;-0,033193679;-0,033193679;0,799529344;0,8304302;-0,033193679;0,768913315;;;;0;0;0,932405027;0,033193679;1,038908386;;20200116;0,006;0,00006
17/12/2019;1;-0,038721028;-0,038721028;0,768570745;0,798275089;-0,038721028;0,739140201;;;;1;-0,038721028;0,896301346;-0,038721028;0,998680785;;20200117;0,006;0,00006
18/12/2019;1;0,102073221;0,102073221;0,847021237;0,879757598;0,102073221;0,814586621;;;;1;0,102073221;0,987789711;0,102073221;1,100619349;;20200121;0,006;0,00006
19/12/2019;1;-0,019689034;-0,019689034;0,830344207;0,862436021;-0,019689034;0,798548198;;;;1;-0,019689034;0,968341086;-0,019689034;1,078949217;;20200122;0,006;0,00006
20/12/2019;1;0,005733865;0,005733865;0,835105288;0,867381113;0,005733865;0,803126965;;;;1;0,005733865;0,973893423;0,005733865;1,085135766;;20200123;0,006;0,00006
21/12/2019;0;-0,006688359;0;0,835105288;0,861579757;0,006688359;0,808498566;;;;1;-0,006688359;0,967379674;-0,006688359;1,077877989;;20200124;0,006;0,00006
22/12/2019;0;0,051305383;0;0,835105288;0,905783436;-0,051305383;0,767018238;;;;1;0,051305383;1,017011458;0,051305383;1,133178932;;20200127;0,006;0,00006
23/12/2019;0;-0,024779963;0;0,835105288;0,883338156;0,024779963;0,786024922;;;;0;0;1,017011458;0,024779963;1,161259064;;20200128;0,006;0,00006
24/12/2019;1;-0,008461833;-0,008461833;0,828038767;0,875863496;-0,008461833;0,77937371;;;;1;-0,008461833;1,008405677;-0,008461833;1,151432684;;20200129;0,006;0,00006
25/12/2019;0;-0,008382854;0;0,828038767;0,86852126;0,008382854;0,785907086;;;;1;-0,008382854;0,99995236;-0,008382854;1,141780392;;20200130;0,006;0,00006
26/12/2019;0;0,00034756;0;0,828038767;0,868823124;-0,00034756;0,785633936;;;;0;0;0,99995236;-0,00034756;1,141383554;;20200131;0,006;0,00006
27/12/2019;0;0,006947918;0;0,828038767;0,874859636;-0,006947918;0,780175415;;;;1;0,006947918;1,006899947;0,006947918;1,149313794;;20200203;0,006;0,00006
28/12/2019;0;0,007382773;0;0,828038767;0,881318525;-0,007382773;0,774415558;;;;1;0,007382773;1,014333661;0,007382773;1,157798917;;20200204;0,006;0,00006
29/12/2019;0;0,012382544;0;0,828038767;0,892231491;-0,012382544;0,764826323;;;;1;0,012382544;1,026893692;0,012382544;1,172135412;;20200205;0,006;0,00006
30/12/2019;0;-0,023525747;0;0,828038767;0,871241079;0,023525747;0,782819434;;;;0;0;1,026893692;0,023525747;1,199710774;;20200206;0,006;0,00006
31/12/2019;1;-0,006665373;-0,006665373;0,822519579;0,865433932;-0,006665373;0,77760165;;;;1;-0,006665373;1,020049062;-0,006665373;1,191714253;;20200207;0,006;0,00006
01/01/2020;1;0,000850969;0,000850969;0,823219518;0,866170389;0,000850969;0,778263365;;;;1;0,000850969;1,020917092;0,000850969;1,192728365;;20200210;0,006;0,00006
02/01/2020;1;-0,032351137;-0,032351137;0,79658743;0,838148792;-0,032351137;0,75308566;;;;0;0;1,020917092;0,032351137;1,231314484;;20200211;0,006;0,00006
03/01/2020;1;0,056370078;0,056370078;0,841491126;0,885395304;0,056370078;0,795537157;;;;1;0,056370078;1,078466268;0,056370078;1,300723778;;20200212;0,006;0,00006
04/01/2020;1;0,002318224;0,002318224;0,843441891;0,887447849;0,002318224;0,79738139;;;;1;0,002318224;1,080966394;0,002318224;1,303739147;;20200213;0,006;0,00006
05/01/2020;0;-0,000448967;0;0,843441891;0,887049414;0,000448967;0,797739389;;;;0;0;1,080966394;0,000448967;1,304324483;;20200214;0,006;0,00006
06/01/2020;1;0,055817182;0,055817182;0,89052044;0,936562013;0,055817182;0,842266953;;;;0;0;1,080966394;-0,055817182;1,231520766;;20200218;0,006;0,00006
07/01/2020;1;0,051546392;0,051546392;0,936423556;0,984838405;0,051546392;0,885682776;;;;1;0,051546392;1,136686312;0,051546392;1,295001218;;20200219;0,006;0,00006
08/01/2020;1;-0,014337708;-0,014337708;0,922997388;0,970718079;-0,014337708;0,872984114;;;;1;-0,014337708;1,120388835;-0,014337708;1,276433868;;20200220;0,006;0,00006
09/01/2020;1;-0,028010891;-0,028010891;0,897143409;0,943527401;-0,028010891;0,848531051;;;;1;-0,028010891;1,089005746;-0,028010891;1,240679818;;20200221;0,006;0,00006
10/01/2020;1;0,047812128;0,047812128;0,940037744;0,988639454;0,047812128;0,889101127;;;;1;0,047812128;1,141073428;0,047812128;1,299999361;;20200224;0,006;0,00006
11/01/2020;1;-0,020227298;-0,020227298;0,921023321;0,968641949;-0,020227298;0,871117014;;;;1;-0,020227298;1,117992596;-0,020227298;1,273703887;;20200225;0,006;0,00006
12/01/2020;0;0,019194097;0;0,921023321;0,987234157;-0,019194097;0,854396709;;;;1;0,019194097;1,139451455;0,019194097;1,298151483;;20200226;0,006;0,00006
13/01/2020;0;-0,008963839;0;0,921023321;0,978384749;0,008963839;0,862055384;;;;0;0;1,139451455;0,008963839;1,309787904;;20200227;0,006;0,00006
14/01/2020;1;0,087782727;0,087782727;1,00187326;1,064270031;0,087782727;0,937728956;;;;1;0,087782727;1,239475611;0,087782727;1,424764658;;20200228;0,006;0,00006
15/01/2020;1;-0,00058987;-0,00058987;1,001282285;1,06364225;-0,00058987;0,937175818;;;;1;-0,00058987;1,238744481;-0,00058987;1,423924232;;20200302;0,006;0,00006
